split,head_text,head_type,tail_text,tail_type,label,sentence
train,Valeant,Company,drug - maker,Market,operatesIn,"Allergan argued that the Valeant cash - and - stock offer, would hurt its shareholders, given the Canadian drug - maker's history of cutting research and development spending at companies it acquires. Allergan would be acquired by Actavis plc and form Allergan plc."
train,Chrysler,Company,auto,Market,operatesIn,"Chrysler, Daimler Benz in auto merger deal - May 7, 1998"
train,Daimler Benz,Company,auto,Market,operatesIn,"Chrysler, Daimler Benz in auto merger deal - May 7, 1998"
train,China Mobile,Company,mobile communications,Market,operatesIn,China Mobile acquired seven Chinese state - owned mobile communications businesses as part of a consolidation effort.
train,WWE,Company,entertainment,Market,operatesIn,"WWE, Endeavor - owned UFC to merge into $21 bln entertainment giant"
train,UFC,Company,entertainment,Market,operatesIn,"WWE, Endeavor - owned UFC to merge into $21 bln entertainment giant"
train,Tesla,Company,electric vehicles,Market,operatesIn,"Tesla has had a red-carpet welcome from India for its proposal to invest in the country, while its largest rival in electric vehicles, China's BYD, has been stopped cold by increased scrutiny from New Delhi."
train,BYD,Company,electric vehicles,Market,operatesIn,"Tesla has had a red-carpet welcome from India for its proposal to invest in the country, while its largest rival in electric vehicles, China's BYD, has been stopped cold by increased scrutiny from New Delhi."
train,TPREL,Company,renewable energy,Market,operatesIn,"This tie-up heralds TPREL's strategic entry into Nepal's rapidly evolving renewable energy sector and sets the stage for a quantum leap in accelerating Nepal's shift toward sustainable energy, according to a statement."
train,TPREL,Company,sustainable energy,Market,operatesIn,"This tie-up heralds TPREL's strategic entry into Nepal's rapidly evolving renewable energy sector and sets the stage for a quantum leap in accelerating Nepal's shift toward sustainable energy, according to a statement."
train,OIBV,Company,holding,Market,operatesIn,The announcement came two days after CarTrade Tech informed the bourses that it has entered into a share purchase agreement with Sobek Auto India and its holding company OIBV for the acquisition of a 100 percent stake.
train,OYO,Company,tourism,Market,operatesIn,"Aimed at unlocking the untapped tourism potential of Rameswaram, the plan seeks to project and promote Rameswaram as a major tourist attraction while ensuring the preservation of the town's rich cultural heritage, OYO stated."
train,Goodluck Defence,Company,defence,Market,operatesIn,"In a regulatory filing, the company also informed incorporating wholly-owned subsidiary Goodluck Defence and Aerospace Pvt Ltd to carry on the business in the defence sector."
train,Aerospace Pvt Ltd,Company,defence,Market,operatesIn,"In a regulatory filing, the company also informed incorporating wholly-owned subsidiary Goodluck Defence and Aerospace Pvt Ltd to carry on the business in the defence sector."
train,Atraco,Company,apparel manufacturer,Market,operatesIn,"Headquartered in Dubai, apparel manufacturer Atraco operates with a network of four manufacturing units in Kenya and one in Ethiopia producing about 40 million garments annually, GEL said in a statement."
train,"Oscar Health , Inc. ( Oscar ) ( NYSE: OSCR )",Company,health insurance,Market,operatesIn,"NEW YORK, April 13, 2023 -- Oscar Health, Inc. (Oscar) (NYSE: OSCR), the first health insurance company built on a full stack technology platform, will release its first quarter 2023 financial results after market close on Tuesday, May 9, 2023."
train,CalMaine ( CALM ),Company,egg production,Market,operatesIn,"CalMaine (CALM) buys certain facilities of Fassio Egg Farms, which will boost its cage-free egg production capacity and market presence in Utah and the western United States."
train,Fassio Egg Farms,Company,egg production,Market,operatesIn,"CalMaine (CALM) buys certain facilities of Fassio Egg Farms, which will boost its cage-free egg production capacity and market presence in Utah and the western United States."
train,Workiva Inc. ( NYSE:WK ),Company,"cloud platform for assured , integrated reporting",Market,operatesIn,"NEW YORK, September 29, 2023 -- Workiva Inc. (NYSE:WK), the world s leading cloud platform for assured, integrated reporting, announced today that it plans to release its third quarter financial results on Monday, Oct. 30, 2023, after the market closes, and will host an investor conference call and webcast at 5:00 p.m. ET. Julie Iskow, chief executive officer, and Jill Klindt, chief financial officer, will host the call to discuss the company's results and answer questions."
train,Merchants Bancorp ( Merchants ) ( Nasdaq: MBIN ),Company,bank holding,Market,operatesIn,"Merchants Bancorp (Merchants) (Nasdaq: MBIN), parent company and registered bank holding company of Merchants Bank of Indiana (Merchants Bank), today confirmed that its liquidity remains strong despite recent market concerns facing other financial institutions."
train,Merchants Bancorp ( Merchants ) ( Nasdaq: MBIN ),Company,financial,Market,operatesIn,"Merchants Bancorp (Merchants) (Nasdaq: MBIN), parent company and registered bank holding company of Merchants Bank of Indiana (Merchants Bank), today confirmed that its liquidity remains strong despite recent market concerns facing other financial institutions."
train,"Corbus Pharmaceuticals Holdings , Inc. ( NASDAQ: CRBP )",Company,precision oncology,Market,operatesIn,"Corbus Pharmaceuticals Holdings, Inc. (NASDAQ: CRBP) (Corbus or the Company), a precision oncology company, today announced the pre-clinical data on its CRB-701 Nectin-4 anti-drug-conjugate (ADC) will be presented at the 2023 AACR-NCI-EORTC International Conference on Molecular Targets and Cancer Therapeutics, to be held in Boston, MA October 11-15, 2023."
train,"EnerCom , Inc.",Company,Energy,Market,operatesIn,"EnerCom, Inc. announced today that Liberty Energy and Strive Asset Management have been added as keynote speakers at EnerCom Denver - The Energy Investment Conference to be held August 13-16, 2023, in Denver, Colorado."
train,Liberty Energy,Company,Energy,Market,operatesIn,"EnerCom, Inc. announced today that Liberty Energy and Strive Asset Management have been added as keynote speakers at EnerCom Denver - The Energy Investment Conference to be held August 13-16, 2023, in Denver, Colorado."
train,Strive Asset Management,Company,Energy,Market,operatesIn,"EnerCom, Inc. announced today that Liberty Energy and Strive Asset Management have been added as keynote speakers at EnerCom Denver - The Energy Investment Conference to be held August 13-16, 2023, in Denver, Colorado."
train,Virtus Convertible & Income Fund ( NYSE: NCV ),Company,closed-end funds,Market,operatesIn,"HARTFORD, Conn., May 26, 2023 -- Virtus Convertible & Income Fund (NYSE: NCV) and Virtus Convertible & Income Fund II (NYSE: NCZ), closed-end funds, today announced the issuance of mandatory redeemable preferred (MRP) shares."
train,Virtus Convertible & Income Fund II ( NYSE: NCZ ),Company,closed-end funds,Market,operatesIn,"HARTFORD, Conn., May 26, 2023 -- Virtus Convertible & Income Fund (NYSE: NCV) and Virtus Convertible & Income Fund II (NYSE: NCZ), closed-end funds, today announced the issuance of mandatory redeemable preferred (MRP) shares."
train,"CNS Pharmaceuticals , Inc. ( NASDAQ:CNSP )",Company,biopharmaceutical,Market,operatesIn,"CNS Pharmaceuticals, Inc. (NASDAQ:CNSP) (CNS or the Company), a biopharmaceutical company specializing in the development of novel treatments for primary and metastatic cancers in the brain and central nervous system, today reported its financial results for the full year ended December 31, 2022 and provided a clinical update of its anti-cancer drug candidate currently in development for the treatment of primary and metastatic brain and CNS cancer."
train,"WisdomTree , Inc. ( NYSE: WT )",Company,financial innovator,Market,operatesIn,"NEW YORK, July 28, 2023 -- WisdomTree, Inc. (NYSE: WT), a global financial innovator, today reported financial results for the second quarter of 2023."
train,"ATI Physical Therapy , Inc.",Company,outpatient physical therapy provider,Market,operatesIn,"ATI Physical Therapy, Inc. (ATI or the Company) (NYSE: ATIP), the largest single-branded outpatient physical therapy provider in the United States, today reported financial results for the third quarter ended September 30, 2022."
train,Franklin Street Properties Corp.,Company,real estate investment trust ( REIT ),Market,operatesIn,"WAKEFIELD, Mass., February 14, 2023 -- Franklin Street Properties Corp. (the Company, FSP, we or our) (NYSE American: FSP), a real estate investment trust (REIT), announced its results for the fourth quarter and the year ended December 31, 2022."
train,Hanesbrands ( HBI ),Company,apparel,Market,operatesIn,Hanesbrands (HBI) signs a strategic multi-year license agreement with G-III Apparel (GIII). It also inks a multiyear extension of its current apparel partnership with Florida State University.
train,Hyatt's ( H ),Company,luxury and lifestyle,Market,operatesIn,Strategic expansion initiatives benefit Hyatt's (H) luxury and lifestyle brands' growth across Americas.
train,Potash Corp.,Company,Fertilizer,Market,operatesIn,"Potash Corp. and Agrium to Merge, Creating Fertilizer Giant"
train,Agrium,Company,Fertilizer,Market,operatesIn,"Potash Corp. and Agrium to Merge, Creating Fertilizer Giant"
train,Renault,Company,car manufacturer.,Market,operatesIn,"At the end of May 2019, news broke of a potential $35 billion merger-of-equals between Renault and Fiat Chrysler, aiming to create the third largest car manufacturer. The deal allegedly failed due to Nissan's abstaining from voting on the merger proposal and the French Government's stake in Renault."
train,Fiat Chrysler,Company,car manufacturer.,Market,operatesIn,"At the end of May 2019, news broke of a potential $35 billion merger-of-equals between Renault and Fiat Chrysler, aiming to create the third largest car manufacturer. The deal allegedly failed due to Nissan's abstaining from voting on the merger proposal and the French Government's stake in Renault."
train,China Guodian Corporation,Company,coal-fired power generators),Market,operatesIn,"In August 2017, SASAC announced that China Guodian Corporation (one of China's largest coal-fired power generators) and Shenhua Group (China's biggest coal miner) would be jointly restructured, with Shenhua Group becoming China Energy Investment Corporation and absorbing China Guodian Corporation to become the largest power company in the world by installed capacity."
train,Shenhua Group,Company,coal miner),Market,operatesIn,"In August 2017, SASAC announced that China Guodian Corporation (one of China's largest coal-fired power generators) and Shenhua Group (China's biggest coal miner) would be jointly restructured, with Shenhua Group becoming China Energy Investment Corporation and absorbing China Guodian Corporation to become the largest power company in the world by installed capacity."
train,China Energy Investment Corporation,Company,power,Market,operatesIn,"In August 2017, SASAC announced that China Guodian Corporation (one of China's largest coal-fired power generators) and Shenhua Group (China's biggest coal miner) would be jointly restructured, with Shenhua Group becoming China Energy Investment Corporation and absorbing China Guodian Corporation to become the largest power company in the world by installed capacity."
train,Docomo,Company,wireless,Market,operatesIn,Japan's NTT launches $40 billion buyout of wireless unit Docomo
train,Mandarin Oriental,Company,premium luxury hotel,Market,operatesIn,Reliance Industries said on Monday it is set to acquire New York's premium luxury hotel Mandarin Oriental for $ 98.15 million.
train,Zivame,Company,lingerie retailer,Market,operatesIn,Reliance Brands bought out the stake held by Ronnie Screwvala's Unilazer Ventures in lingerie retailer Zivame.
