split,head_text,head_type,tail_text,tail_type,gold_label,sentence
train,Oilfield services,Product,Halliburton,Company,Unspecified,Oilfield services provider Halliburton and smaller rival Baker Hughes terminated their $28 billion merger deal after opposition from U.S. and European antitrust regulators.
train,Log9,Company,cell line,Product,Development,"If the Chinese engineers don't arrive on time, then our cell line production will get impacted, Log9's co-founder and director, Pankaj Sharma, told Reuters. We don't know by how much, but it can practically destabilise the production."
train,BYD,Company,electric cars,Product,Development,"BYD and its partner, privately held Megha Engineering and Infrastructures submitted a proposal to the Indian government in April to jointly build electric cars in India, Reuters reported earlier this month."
train,Megha Engineering and Infrastructures,Company,electric cars,Product,Development,"BYD and its partner, privately held Megha Engineering and Infrastructures submitted a proposal to the Indian government in April to jointly build electric cars in India, Reuters reported earlier this month."
train,metallurgical coal,Product,BHP,Company,Unspecified,"Around 40% of BHP's metallurgical coal, used by steel mills and known as coking coal, is now heading to India, she said."
train,Aether Industries,Company,converge polyols,Product,Development,"We are pleased to have been chosen to commercialise the converge polyols after working collaboratively for several years on the development of the manufacturing technology for the converge platform, Aether Industries promoter and director Aman Desai said in a statement."
train,Fluocinolone Acetonide Topical Oil,Product,Novel Laboratories Inc,Company,Unspecified,"New Jersey-based Novel Laboratories Inc has received the approval from the US Food and Drug Administration (USFDA) for Fluocinolone Acetonide Topical Oil, Lupin said in a statement."
train,Atraco,Company,garments,Product,Development,"Headquartered in Dubai, apparel manufacturer Atraco operates with a network of four manufacturing units in Kenya and one in Ethiopia producing about 40 million garments annually, GEL said in a statement."
train,interactive display systems and solutions,Product,VIA optronics AG ( NYSE: VIAO ),Company,SaleOrMarketing,"NUREMBERG, Germany, May 16, 2023 -- VIA optronics AG (NYSE: VIAO) (VIA or the Company), a leading supplier of interactive display systems and solutions, today announced Udo Zimmer as new member of Supervisory Board and Chairman of the Audit Committee."
train,"Corbus Pharmaceuticals Holdings , Inc. ( NASDAQ: CRBP )",Company,CRB-701 Nectin-4 anti-drug-conjugate ( ADC ),Product,Development,"Corbus Pharmaceuticals Holdings, Inc. (NASDAQ: CRBP) (Corbus or the Company), a precision oncology company, today announced the pre-clinical data on its CRB-701 Nectin-4 anti-drug-conjugate (ADC) will be presented at the 2023 AACR-NCI-EORTC International Conference on Molecular Targets and Cancer Therapeutics, to be held in Boston, MA October 11-15, 2023."
train,enterprise performance management,Product,"NETSCOUT SYSTEMS , INC. ( NASDAQ: NTCT )",Company,SaleOrMarketing,"WESTFORD, Mass., July 27, 2023 -- NETSCOUT SYSTEMS, INC. (NASDAQ: NTCT), a leading provider of enterprise performance management, carrier service assurance, cybersecurity, and DDoS protection, today announced financial results for its first quarter ended June 30, 2023."
train,carrier service assurance,Product,"NETSCOUT SYSTEMS , INC. ( NASDAQ: NTCT )",Company,SaleOrMarketing,"WESTFORD, Mass., July 27, 2023 -- NETSCOUT SYSTEMS, INC. (NASDAQ: NTCT), a leading provider of enterprise performance management, carrier service assurance, cybersecurity, and DDoS protection, today announced financial results for its first quarter ended June 30, 2023."
